sr,hr,skr,class_label,val
2.42,284.26,5.74,helmet,0.05555555555555556
3.84,95.42,1.0,helmet,0.05555555555555556
2.42,174.11,1.0,desk_lamp,0.01098901098901099
8.11,221.32,9.05,bench,0.018181818181818184
5.26,32.47,2.89,helmet,0.04444444444444444
2.42,284.26,9.53,bottle,0.05303030303030303
9.05,126.89,3.84,bench,0.018181818181818184
3.37,221.32,1.47,helmet,0.04444444444444444
9.53,16.74,1.47,tv,0.04545454545454546
5.74,284.26,6.21,acoustic_guitar,0.0
1.95,32.47,7.16,acoustic_guitar,0.0
3.37,1.0,5.74,tv,0.022727272727272724
6.68,1.0,1.47,helmet,0.11111111111111109
7.63,205.58,6.68,helmet,0.05555555555555556
1.0,48.21,4.79,helmet,0.04444444444444444
1.95,63.95,1.95,ant,0.05
3.84,268.53,4.79,desk_lamp,0.01098901098901099
6.68,284.26,6.21,desk_lamp,0.01098901098901099
3.37,16.74,1.0,tv,0.04545454545454546
7.63,300.0,6.68,bottle,0.05303030303030303
7.63,79.68,8.58,helmet,0.05555555555555556
2.89,300.0,1.47,desk_lamp,0.01098901098901099
2.42,284.26,7.16,ant,0.05
7.16,189.84,3.37,helmet,0.05555555555555556
3.37,32.47,5.74,acoustic_guitar,0.0
1.95,300.0,6.68,bottle,0.05303030303030303
3.37,48.21,5.26,desk_lamp,0.03846153846153847
3.37,16.74,10.0,bottle,0.16666666666666666
1.0,16.74,1.0,bottle,0.05303030303030303
6.21,142.63,8.11,bench,0.018181818181818184
9.53,158.37,7.16,bench,0.018181818181818184
1.47,95.42,1.47,ant,0.05
4.79,79.68,4.32,ant,0.05
9.05,1.0,7.63,bottle,0.18939393939393936
4.79,95.42,9.05,bench,0.02727272727272728
5.74,32.47,9.53,ant,0.15
8.11,142.63,1.0,tv,0.022727272727272724
8.11,142.63,7.16,bench,0.018181818181818184
9.53,158.37,7.16,tv,0.030303030303030304
1.95,126.89,5.26,bottle,0.05303030303030303
9.53,95.42,3.84,bottle,0.05303030303030303
8.58,252.79,2.89,bench,0.018181818181818184
8.11,126.89,6.68,bench,0.018181818181818184
1.47,205.58,9.53,helmet,0.05555555555555556
1.0,79.68,2.42,helmet,0.05555555555555556
10.0,268.53,1.95,tv,0.022727272727272724
7.16,63.95,4.32,bottle,0.05303030303030303
8.58,252.79,4.32,desk_lamp,0.01098901098901099
3.84,268.53,6.21,bench,0.018181818181818184
9.53,79.68,8.11,bottle,0.06060606060606061
7.63,48.21,9.53,tv,0.04545454545454546
8.58,252.79,2.89,tv,0.022727272727272724
6.68,174.11,4.32,bench,0.018181818181818184
9.53,174.11,9.05,bench,0.018181818181818184
2.89,32.47,6.21,tv,0.04545454545454546
9.53,268.53,3.84,acoustic_guitar,0.0
2.42,189.84,9.05,bench,0.018181818181818184
10.0,48.21,5.74,bottle,0.07575757575757576
5.74,1.0,8.11,helmet,0.09999999999999999
5.26,1.0,2.42,ant,0.15
5.26,284.26,1.0,bottle,0.05303030303030303
1.47,48.21,8.11,helmet,0.06666666666666667
7.16,158.37,4.32,desk_lamp,0.01098901098901099
3.84,63.95,1.0,ant,0.05
10.0,174.11,8.58,desk_lamp,0.02197802197802198
6.21,189.84,4.32,ant,0.05
1.0,111.16,4.79,tv,0.022727272727272724
4.32,142.63,5.26,acoustic_guitar,0.0
5.26,142.63,1.0,desk_lamp,0.01098901098901099
5.26,32.47,2.89,desk_lamp,0.03296703296703297
6.21,221.32,8.58,acoustic_guitar,0.0
10.0,284.26,2.89,bench,0.018181818181818184
1.0,111.16,9.53,bottle,0.05303030303030303
6.21,111.16,7.63,desk_lamp,0.02197802197802198
1.47,63.95,9.53,ant,0.1
1.47,237.05,3.84,helmet,0.05555555555555556
2.42,252.79,4.32,desk_lamp,0.01098901098901099
10.0,126.89,10.0,desk_lamp,0.027472527472527476
1.0,221.32,1.0,bench,0.018181818181818184
6.21,48.21,5.26,ant,0.1
2.42,142.63,1.95,ant,0.05
7.63,189.84,4.32,helmet,0.05555555555555556
5.74,126.89,5.26,desk_lamp,0.016483516483516484
4.79,48.21,4.32,bench,0.02727272727272728
8.11,189.84,5.74,ant,0.05
7.16,300.0,3.84,bottle,0.05303030303030303
2.42,237.05,2.42,acoustic_guitar,0.0
1.95,126.89,6.21,bottle,0.04545454545454545
7.16,79.68,9.05,desk_lamp,0.03846153846153847
9.05,79.68,8.58,bench,0.02727272727272728
5.26,189.84,5.26,acoustic_guitar,0.0
7.16,252.79,4.32,bench,0.018181818181818184
2.42,268.53,10.0,bottle,0.05303030303030303
6.68,1.0,1.47,tv,0.015151515151515152
1.47,79.68,3.84,helmet,0.05555555555555556
9.05,174.11,5.74,desk_lamp,0.01098901098901099
6.21,63.95,7.63,acoustic_guitar,0.0
6.21,126.89,7.63,desk_lamp,0.02197802197802198
9.05,268.53,4.79,bottle,0.05303030303030303
1.47,63.95,9.05,helmet,0.04444444444444444
9.53,205.58,7.63,ant,0.05
5.74,16.74,6.68,bench,0.07272727272727274
1.95,237.05,9.53,desk_lamp,0.016483516483516484
3.37,16.74,9.53,acoustic_guitar,0.0
2.89,79.68,3.37,helmet,0.05555555555555556
6.68,252.79,10.0,bottle,0.05303030303030303
5.26,189.84,8.11,bench,0.018181818181818184
1.95,174.11,5.26,ant,0.05
2.42,126.89,7.63,bench,0.018181818181818184
1.95,237.05,1.0,tv,0.022727272727272724
2.89,63.95,1.47,bench,0.018181818181818184
1.0,268.53,3.84,bottle,0.05303030303030303
4.79,95.42,7.16,desk_lamp,0.02197802197802198
6.68,237.05,5.74,ant,0.05
3.84,189.84,6.21,tv,0.022727272727272724
3.84,111.16,2.89,bench,0.018181818181818184
2.89,284.26,9.53,bottle,0.05303030303030303
3.37,205.58,7.63,ant,0.05
4.32,205.58,3.37,ant,0.05
1.0,158.37,9.05,acoustic_guitar,0.0
8.11,16.74,2.42,tv,0.04545454545454546
3.84,32.47,6.68,helmet,0.08888888888888888
7.16,48.21,9.05,acoustic_guitar,0.0
8.58,48.21,2.42,acoustic_guitar,0.0
10.0,126.89,6.68,acoustic_guitar,0.0
2.89,79.68,7.63,acoustic_guitar,0.0
7.63,284.26,8.11,tv,0.022727272727272724
3.84,95.42,1.0,acoustic_guitar,0.0
1.95,32.47,2.89,bottle,0.05303030303030303
1.95,252.79,6.68,helmet,0.05555555555555556
6.68,221.32,8.58,bench,0.018181818181818184
3.84,1.0,7.16,tv,0.015151515151515152
4.79,205.58,7.63,helmet,0.05555555555555556
5.74,48.21,1.0,bench,0.018181818181818184
2.89,300.0,1.47,helmet,0.04444444444444444
8.11,221.32,9.05,tv,0.030303030303030304
5.74,284.26,9.53,desk_lamp,0.01098901098901099
8.11,1.0,3.37,bottle,0.19696969696969693
3.37,252.79,1.47,tv,0.022727272727272724
8.58,189.84,7.63,desk_lamp,0.016483516483516484
3.84,237.05,3.37,desk_lamp,0.01098901098901099
6.68,1.0,3.84,bench,0.04545454545454546
7.63,79.68,8.58,acoustic_guitar,0.0
9.53,300.0,5.26,tv,0.022727272727272724
4.79,32.47,2.42,tv,0.04545454545454546
3.37,189.84,1.95,acoustic_guitar,0.0
1.0,48.21,6.68,tv,0.04545454545454546
